ID,Requirement,Source,Rationale,Priority,Acceptance measure,Dependencies,Risk if omitted,Confidence,Release target,Architecture component,Test ID
FR-013,The platform shall permit regrading stored responses under a new grader version without calling the target model and without overwriting prior classifications.,Wilson G.10/J.10,Supports controlled interpretation changes.,Should,A regrade creates new grader-run and classification records linked by supersession.,"FR-006,FR-007",Historical results are silently rewritten.,High,Initial release,Grading/regrade workflow,TST-REGRADE-001
FR-014,The platform shall compare candidate and baseline experiments using paired prompt-family analysis and practical regression thresholds.,Wilson I.3/K.2,"Supports release decisions, not only absolute scores.",Should,"Comparison report exposes paired deltas, intervals, support, and changed-dataset warnings.","FR-009,FR-010",Regression claims are statistically invalid.,High,Initial release,Comparison service,TST-COMPARE-001
FR-015,"The platform shall keep certification, regression, exploration, and monitoring lanes separate in configuration, access, and reporting.",Wilson H.0/A.8,Protects benchmark comparability.,Must,A run belongs to exactly one lane; exploration output cannot enter certification snapshots.,"FR-001,SEC-002",Adaptive exploration contaminates certification.,High,MVP,Experiment engine,TST-LANE-001
FR-016,"The platform shall provide CLI and REST interfaces for validate, start, status, pause, resume, cancel, regrade, compare, export, and evidence access workflows.",Wilson V/K.6,"Supports engineers, CI, and operators.",Should,"Contract tests verify status codes, idempotency, ETags, and role checks.","FR-001,OPS-004,SEC-002",Manual workflows are error-prone.,High,Validate/run/status in MVP; remainder initial release,API/CLI,TST-API-001
FR-017,"The platform shall enforce budgets for provider cost, grading cost, human-review tasks, storage, and elapsed time before and during execution.",Wilson H.11/U,Limits runaway experiments.,Should,Admission rejects impossible budgets; runtime pauses before a hard limit is exceeded.,"FR-004,OPS-002",Unbounded spend or queue load.,High,Initial release,Admission controller,TST-BUDGET-001
FR-018,"The platform shall capture configured aliases, provider-reported model identifiers, capabilities, and fingerprint canaries for every experiment.",Wilson A.2/A.8,Hosted models can drift behind stable aliases.,Should,Metadata or canary change raises an alert and marks comparisons pending review.,"FR-005,DATA-004",Silent provider drift invalidates trends.,High,Before production,Provider registry,TST-DRIFT-001
NFR-001,The production API shall achieve at least 99.9% monthly availability excluding approved maintenance.,Wilson M.3,Control-plane reliability.,Must,SLO dashboard and monthly error-budget calculation.,OPS-002,Evaluation work is unavailable.,High,Production,API/control plane,TST-SLO-001
NFR-002,At least 99.99% of accepted experiment definitions shall remain durably recoverable.,Wilson M.3,Accepted work must not disappear.,Must,Failure-injection and restore tests show no lost accepted experiment.,"OPS-001,OPS-004",Silent loss of release evidence.,High,Production,PostgreSQL/backups,TST-DURABILITY-001
NFR-003,Ninety-five percent of interactive experiments shall begin execution within five minutes when admitted within declared capacity.,Wilson M.3,Predictable evaluator UX.,Should,Queue-age SLI by priority and provider.,"FR-017,OPS-002",Users cannot plan evaluation cycles.,Medium,Production,Scheduler,TST-PERF-001
NFR-004,"Ninety-five percent of automated grading shall complete within two minutes after response persistence, excluding human review.",Wilson M.3,Timely results.,Should,Grading-latency histogram meets objective at target load.,FR-007,Release feedback is delayed.,Medium,Production,Grader workers,TST-PERF-002
NFR-005,Ninety-nine percent of reports shall complete within ten minutes after all required metric snapshots are ready.,Wilson M.3,Release dossier timeliness.,Should,Report-generation SLI and load test.,FR-012,Release process stalls.,Medium,Production,Report worker,TST-PERF-003
NFR-006,"Given frozen artifacts and versioned code, the platform shall reproduce published metric counts and hashes exactly.",Wilson 0.3/A.9/N.4,Core defensibility property.,Must,Reproduction suite yields byte-identical canonical snapshots or a documented deterministic equivalent.,"FR-006,FR-009",Results cannot be defended.,High,MVP,Evidence/metric engine,TST-REPRO-001
NFR-007,The codebase shall maintain at least 80% branch coverage for foundation modules and 100% coverage of gate-critical decision branches.,Evaluation prompt quality standard,Reduces regression risk in core logic.,Should,CI coverage threshold and mutation tests.,All Must requirements,Critical logic can regress silently.,Medium,MVP,CI quality gates,TST-COVERAGE-001
SEC-001,Production user authentication shall use organization-controlled OIDC with MFA policy inherited from the identity provider.,Wilson L.1,Central identity and revocation.,Must,"OIDC integration tests cover valid, expired, revoked, and wrong-audience tokens.",SEC-002,Unauthenticated access to restricted evidence.,Medium,Before production,Identity adapter,TST-AUTH-001
SEC-002,"Authorization shall enforce project scope and role at API, database-row, artifact-prefix, export, and hidden-set boundaries.",Wilson F.8/L.1/L.2,UI-only authorization is insufficient.,Must,Negative permission matrix shows no cross-project read or write path.,SEC-001,Cross-project harmful-content leakage.,High,Before production,RBAC/RLS/artifact policy,TST-AUTHZ-001
SEC-003,"All prompts, outputs, attachments, reports, and notifications shall be rendered as inert data; active HTML, script, external fetch, and executable preview are prohibited by default.",Wilson 0.3/L.5/K.8,Model content is untrusted.,Must,"Stored-XSS, Markdown, URI, attachment, and export security corpus cannot execute.",FR-006,Reviewer compromise through evidence.,High,MVP safe HTML; full corpus before production,Safe renderer,TST-RENDER-001
SEC-004,"Grading workers shall have no target-provider credentials, no tools, no default external network, and schema-only output.",Wilson A.8/L.5,Limits prompt-injection impact.,Must,Network and credential canaries remain inaccessible in grader tests.,FR-007,Untrusted output can exfiltrate secrets or act externally.,High,Before production,Grading plane,TST-GRADER-SEC-001
SEC-005,"Secrets shall be obtained from a managed secret store, scoped per process and provider, rotated, and never persisted in artifacts, logs, or database payloads.",Wilson L.4,Least privilege and leak prevention.,Must,Secret scanners and canary tests detect no persistence; rotation exercise succeeds.,SEC-004,Credential compromise.,High,Before production,Secrets integration,TST-SECRETS-001
SEC-006,Restricted artifacts shall be encrypted in transit and at rest with project- or classification-scoped keys and integrity verification.,Wilson L.3/L.8/L.11,Harmful content and possible secrets require stronger handling.,Must,Key-policy and object-access tests pass; scheduled hash verification is 100%.,"FR-006,SEC-002",Evidence disclosure or undetected modification.,High,Before production,Object store/KMS,TST-CRYPTO-001
SEC-007,"Every privileged mutation, evidence access, export, approval, override, and policy change shall create an append-only, tamper-evident audit event.",Wilson L.6/L.7/L.11,Accountability and incident reconstruction.,Must,Hash-chain verification and tamper test pass; audit outage blocks privileged publication.,SEC-002,Unreviewable or repudiable decisions.,High,MVP metadata ledger; external checkpoints before production,Audit ledger,TST-AUDIT-001
SEC-008,Execution workers shall use explicit outbound allowlists and certification shall use simulators instead of live tools unless an authorized sandbox profile is approved.,Wilson L.12,Prevents evaluations from causing real-world actions.,Must,Egress-deny and simulator tests pass; no certification manifest may request live tools by default.,FR-005,Evaluation system causes external harm.,High,Before production,Network policy/tool simulator,TST-EGRESS-001
PRIV-001,"The platform shall minimize collection of personal data, secrets, and live identifiers and shall support de-identification before dataset promotion.",Wilson L.8/E.8,"Benchmarks need content, not unnecessary identities.",Must,Dataset promotion rejects prohibited fields and records de-identification status.,FR-002,Unnecessary privacy and breach exposure.,Medium,Before production,Dataset supply chain,TST-PRIV-001
PRIV-002,"Each data class shall have an approved retention, deletion, legal-hold, and access-review policy.",Wilson J.8/L.8,Immutable evidence does not mean indefinite retention.,Must,"Lifecycle job, hold precedence, deletion tombstone, and restore behavior are tested.",SEC-006,Over-retention or unlawful deletion.,Medium,Before production,Retention service,TST-RETENTION-001
DATA-001,Every score-affecting configuration and artifact shall be versioned and hashed with canonical serialization.,Wilson 0.3/T,Foundational lineage invariant.,Must,Changing any score-affecting field changes the manifest or artifact hash.,FR-001,Results cannot be reproduced.,High,MVP,Contracts/evidence,TST-HASH-001
DATA-002,"Every published metric shall expose included runs, excluded runs by reason, numerator, denominator, strict/nominal view, and confidence interval.",Wilson B.3/C.1A,Prevents silent exclusions and denominator drift.,Must,Population reconciliation equations pass for all fixtures.,FR-009,Optimistic or incomparable metrics.,High,MVP,Metric engine,TST-RECON-001
DATA-003,"The platform shall preserve a provenance graph from source material through dataset case, rendered request, response, classification, metric snapshot, gate, and dossier.",Wilson J.9/T,Allows exact drill-down.,Must,Every graph edge resolves and every referenced hash verifies.,"FR-006,FR-012",Broken audit lineage.,High,Initial release,Provenance service,TST-LINEAGE-001
DATA-004,Provider metadata used for gating or comparison shall be stored in typed fields; non-critical provider-specific metadata may be JSON.,Wilson J.12,Critical fields must remain queryable and validated.,Should,Schema tests reject missing gating metadata and tolerate documented extensions.,FR-005,Provider drift or usage data becomes invisible.,High,Initial release,Persistence/provider contract,TST-PROVIDER-DATA-001
OPS-001,Production backups shall support an initial RPO of 15 minutes and RTO of four hours for control-plane state; artifact recovery shall reconcile to all accepted runs.,Wilson M.5/N.4; recommended initial target,Concrete recovery objective.,Must,Quarterly restore exercise meets targets and verifies audit/artifact continuity.,"NFR-002,SEC-006",Loss of release evidence.,Medium,Before production,Backup/DR,TST-DR-001
OPS-002,"The platform shall emit structured logs, metrics, traces, and alerts for queue age, provider failures, grading latency, artifact integrity, audit persistence, budget use, and critical labels.",Wilson M,Observable failure.,Must,Alert tests fire with actionable runbook links and no restricted raw content.,All runtime components,Silent degradation.,High,MVP baseline; production alerts before launch,Observability,TST-OBS-001
OPS-003,"Runbooks shall exist for provider outage, stuck queue, worker death, object-store failure, audit outage, critical unsafe result, backup restore, and signing-key compromise.",Wilson M.5,Operational readiness.,Must,Game-day exercises complete with recorded evidence and owners.,"OPS-001,OPS-002",Incidents are handled inconsistently.,High,Before production,Operations,TST-RUNBOOK-001
OPS-004,All mutating commands and retryable jobs shall be idempotent; retries shall preserve logical-run identity and create distinct attempt records.,Wilson H.4/H.5/J.13,Safe retries and crash recovery.,Must,Worker-kill and duplicate-request tests produce no duplicate logical runs.,"FR-004,FR-005",Double execution and count corruption.,High,MVP key; durable worker before production,API/scheduler,TST-RETRY-001
ACC-001,"The production web interface shall meet WCAG 2.2 AA for primary evaluation, review, and release workflows.",Evaluation prompt; usability requirement,Reviewers must safely use dense evidence interfaces.,Should,Automated and manual accessibility audit has no unresolved critical violations.,FR-016,Excludes reviewers and creates legal/operational risk.,Medium,Before production,Web UI,TST-A11Y-001
ACC-002,"All primary workflows shall be keyboard operable, expose visible focus, provide non-color status cues, and support screen-reader labels for metrics and review states.",Evaluation prompt,Concrete accessibility behavior.,Should,Keyboard and assistive-technology test scripts pass.,ACC-001,Critical status is inaccessible or ambiguous.,Medium,Before production,Web UI,TST-A11Y-002
COMP-001,"No specific regulatory certification is assumed; compliance controls shall remain configurable until jurisdiction, contracts, and data residency are approved.",Missing source context,Avoids inventing obligations.,Must,Launch checklist records approved regimes or an explicit no-regime decision.,"PRIV-002,SEC-006",Architecture may violate unknown obligations.,Low,Decision before production,Governance,TST-GOV-001
